# Annotated with Bakta
# Software: v1.11.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	71	301	+	OCINHB_001		hypothetical protein	PFAM:PF03479.20
contig_1	cds	411	842	+	OCINHB_002		hypothetical protein	PFAM:PF09424.15
contig_1	cds	843	1856	-	OCINHB_003		hypothetical protein	
contig_1	cds	2098	3459	+	OCINHB_004		hypothetical protein	
contig_1	cds	3495	4268	+	OCINHB_005		Hydroxyacylglutathione hydrolase	SO:0001217, UniRef:UniRef50_K2BXT8
contig_1	cds	4261	5007	-	OCINHB_006		Aquaporin	SO:0001217, UniRef:UniRef50_A0A496XSH3
contig_1	cds	5216	7141	-	OCINHB_007		Cell division protein FtsI/penicillin-binding protein 2	SO:0001217, UniRef:UniRef50_A0A378LMS3
contig_1	cds	7388	7600	+	OCINHB_008		hypothetical protein	
contig_1	cds	7694	8080	+	OCINHB_009		hypothetical protein	
contig_1	cds	8091	8882	-	OCINHB_010		hypothetical protein	
contig_1	cds	8946	9551	+	OCINHB_011		hypothetical protein	
contig_1	cds	9972	11036	-	OCINHB_012	namA	NADPH dehydrogenase NamA	SO:0001217, UniRef:UniRef50_A0A7C1MUG1
contig_1	cds	11317	12363	+	OCINHB_013		FAD/NAD(P)-binding domain-containing protein	SO:0001217, UniRef:UniRef50_K1ZWG7
contig_1	cds	12521	15835	+	OCINHB_014		hypothetical protein	
contig_1	cds	15951	17519	-	OCINHB_015		hypothetical protein	PFAM:PF01464.25, PFAM:PF05569.17
contig_1	cds	17509	17895	-	OCINHB_016		Transcriptional regulator	SO:0001217, UniRef:UniRef50_A0A1W9HH04
contig_1	cds	17970	18551	-	OCINHB_017		hypothetical protein	PFAM:PF00440.29, PFAM:PF16295.10, PFAM:PF22604.1
contig_1	cds	18722	19168	+	OCINHB_018		hypothetical protein	
contig_1	cds	19203	19700	+	OCINHB_019		hypothetical protein	
contig_1	cds	19795	21621	-	OCINHB_020		hypothetical protein	
contig_1	cds	21993	22712	+	OCINHB_021		hypothetical protein	
contig_1	cds	22735	23466	+	OCINHB_022		hypothetical protein	
